Area_ID,Area_Name,average_hse_price,no_of_crimes
E09000001,city of london,820305,0
E09000002,barking and dagenham,282441,1379
E09000003,barnet,532924,2079
E09000004,bexley,330066,1099
E09000005,brent,472373,2229
E09000006,bromley,436538,1756
E09000007,camden,856070,2461
E09000008,croydon,363241,2512
E09000009,ealing,489364,2119
E09000010,enfield,391874,1821
E09000011,greenwich,376668,2110
E09000012,hackney,561445,2389
E09000013,hammersmith and fulham,755421,1622
E09000014,haringey,551095,2260
E09000015,harrow,457832,1056
E09000016,havering,352069,1522
E09000017,hillingdon,410397,2169
E09000018,hounslow,399157,1870
E09000019,islington,639571,2321
E09000020,kensington and chelsea,1394421,1534
E09000021,kingston upon thames,487327,900
E09000022,lambeth,509710,2815
E09000023,lewisham,401025,1866
E09000024,merton,483395,1072
E09000025,newham,355298,2631
E09000026,redbridge,408457,1773
E09000027,richmond upon thames,655125,913
E09000028,southwark,504332,2740
E09000029,sutton,365567,934
E09000030,tower hamlets,458312,2382
E09000031,waltham forest,435682,1821
E09000032,wandsworth,603455,1853
E09000033,City Of Westminster,1040211,4204
,,,
