Station_ID,Station_Name,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
1,Brent Cross,4080,2728,2290,3791,2499,2144,304.63
2,Colindale,11783,8076,5503,10901,6829,5108,849.48
3,Burnt Oak,7414,4665,3321,6947,4413,3165,528.8
4,Edgware,8705,5546,4220,8014,5309,4051,628.82
5,Mill Hill East,2397,1202,769,2154,1414,877,158.18
6,Golders Green,13364,9191,7249,12928,8432,7027,1012.83
7,Finchley Central,12024,7238,4118,11680,6401,4266,823.78
8,Sudbury Hill,2988,1992,1283,3055,1909,1294,221.59
9,Sudbury Town,3027,1916,1394,2801,1545,1215,211.4
10,South Ealing,5789,4409,2847,5650,3988,2805,444.74
11,North Ealing,1402,939,594,1232,801,601,98.3
12,Park Royal,3241,2138,1477,3221,2097,1391,239.39
13,Alperton,4495,3279,2345,5081,3392,2445,366.54
14,Hyde Park Corner,7515,7654,6368,8292,7400,6454,727.13
15,Knightsbridge,25026,28003,19735,23810,25435,15400,2304.19
16,Leicester Square,49948,71173,41846,47341,69316,39694,5234.22
17,Covent Garden,22563,27532,17730,24691,36587,20431,2445.46
18,Russell Square,18960,12688,9990,16656,12317,9299,1389.13
19,Caledonian Road,9277,6574,4874,8591,5719,4668,691.78
20,Holloway Road,10836,7498,5453,10473,6944,5466,814.97
21,Arsenal,4622,3692,2626,3929,3071,2581,352.61
22,Arnos Grove,7443,5868,3986,6732,5100,3745,569.35
23,Southgate,8777,6134,4189,8831,5989,4336,669.42
24,Cockfosters,2894,2998,1811,2760,2576,1814,251.74
25,Oakwood,4407,3555,2568,4331,3560,2689,361.31
26,Manor House,13539,11134,8587,12569,9598,8442,1090.66
27,Elm Park,5724,3184,1801,5138,2896,1787,372.04
28,Hornchurch,3723,2269,1042,3705,2299,1061,255.73
29,Heathrow Terminals 123,11347,12041,12845,9606,9810,10471,1076.65
30,Upminster Bridge,2073,751,377,1999,615,371,118.32
31,Shepherd's Bush Market,35840,31455,20749,31808,28881,19340,2876.06
32,Goldhawk Road,3519,2330,1476,3313,2122,1576,253.07
33,Latimer Road,4190,2164,1532,4003,1922,1457,276.53
34,Ladbroke Grove,9327,9009,4625,8878,7205,3950,747.49
35,Royal Oak,4309,2687,1941,4048,2540,1990,308.67
36,Westbourne Park,6923,4582,2906,6272,4048,2973,489.49
37,Earl's Court,30323,24399,18840,30098,24212,18053,2497.88
38,Queen's Park,9409,6382,4651,8423,5362,4298,675.96
39,Notting Hill Gate,23741,23951,14101,23447,27388,15288,2153.15
40,Lancaster Gate,9568,7851,6492,9120,7473,5692,787.61
41,Marble Arch,22337,19161,13651,19926,15796,11629,1761.62
42,Bond Street,61234,46690,28468,60124,45840,27253,4714.21
43,Perivale,4207,2608,1616,3942,2401,1591,292.09
44,Greenford,7635,4982,3143,7453,4611,3040,548.48
45,Hanger Lane,6547,3994,2691,6086,3537,2478,452.09
46,North Acton,11190,6407,4544,11023,5915,4405,778.38
47,Bank & Monument,112547,29906,17414,111709,29100,16333,6171.74
48,Oxford Circus,121364,103026,63185,136405,113894,65547,10417.31
49,Holborn,51101,28823,17598,56804,31315,18187,3679.69
50,Chancery Lane,31085,8066,4071,32778,8195,4038,1729.01
51,St. Paul's,28879,13501,9087,29552,13116,8497,1885.43
52,Mile End,24959,18224,13261,23873,16737,13471,1916.96
