COUNTS - 2017 - annual entries & exits,,,,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,[ Weights,253,52,59,253,52,59,],,,,,,
Counts by station,,,,,,,,,,Annual,,,,,,
 ,,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,,,
nlc,Station,Borough,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,,,
500,Acton Town,Ealing, ,9531,6716,4744,9382,6617,4785,6.04,,,,,,
502,Aldgate,City of London, ,15080,4397,3261,16023,5909,4230,8.85,,,,,,
503,Aldgate East,Tower Hamlets, ,22327,16166,13323,21071,13893,11347,14.00,,,,,,
505,Alperton,Brent, ,4495,3279,2345,5081,3392,2445,3.05,,,,,,
506,Amersham,Chiltern, ,3848,1876,1232,4025,1797,1121,2.32,,,,,,
507,Angel,Islington, ,30413,20944,13916,30099,22368,13832,19.20,,,,,,
508,Archway,Islington, ,15336,10701,7424,13956,9023,6816,9.28,,,,,,
509,Arnos Grove,Enfield, ,7443,5868,3986,6732,5100,3745,4.61,,,,,,
510,Arsenal,Islington, ,4622,3692,2626,3929,3071,2581,2.82,,,,,,
511,Baker Street,City of Westminster, ,47116,29088,22260,44913,27901,20754,28.78,,,,,,
512,Balham,Wandsworth, ,22562,17441,10809,22199,15581,10678,14.31,,,,,,
513,Bank & Monument,City of London,B+A,112547,29906,17414,111709,29100,16333,61.80,,,,,,
501,Barbican,City of London, ,20680,7416,5149,20512,7702,5351,11.83,,,,,,
514,Barking,Barking and Dagenham, ,29410,19930,14113,28165,18712,13372,18.20,,,,,,
515,Barkingside,Redbridge, ,2723,1440,931,2661,1403,934,1.62,,,,,,
516,Barons Court,Hammersmith and Fulham, ,12188,7011,5009,10959,6051,4894,7.12,,,,,,
517,Bayswater,City of Westminster, ,6946,6916,6033,6309,6409,5286,4.71,,,,,,
518,Becontree,Barking and Dagenham, ,6034,3935,2549,5638,3595,2423,3.64,,,,,,
519,Belsize Park,Camden, ,10868,6114,4791,9207,5596,4541,6.24,,,,,,
787,Bermondsey,Southwark, ,16503,12706,8848,16121,12536,9373,10.64,,,,,,
520,Bethnal Green,Tower Hamlets, ,23869,20599,15643,22390,19079,14976,15.57,,,,,,
521,Blackfriars,City of London, ,26446,10303,8112,24991,8295,6211,14.83,,,,,,
522,Blackhorse Road,Waltham Forest, ,14573,10207,7512,13631,9194,6984,9.00,,,,,,
524,Bond Street,City of Westminster, ,61234,46690,28468,60124,45840,27253,38.80,,,,,,
525,Borough,Southwark, ,9525,5779,3955,9318,6268,4140,5.87,,,,,,
526,Boston Manor,Ealing, ,3893,2378,1724,3414,2094,1744,2.29,,,,,,
527,Bounds Green,Haringey, ,10509,7995,5470,9196,6878,5232,6.39,,,,,,
528,Bow Road,Tower Hamlets, ,9077,6612,4787,8487,5852,4801,5.66,,,,,,
529,Brent Cross,Barnet, ,4080,2728,2290,3791,2499,2144,2.52,,,,,,
778,Brixton,Lambeth, ,51028,40770,28965,48822,40211,28135,32.84,,,,,,
530,Bromley-by-Bow,Tower Hamlets,A,6307,3719,2438,5937,3317,2428,3.75,,,,,,
531,Buckhurst Hill,Epping Forest, ,3740,2373,1303,3843,2109,1290,2.30,,,,,,
532,Burnt Oak,Barnet, ,7414,4665,3321,6947,4413,3165,4.49,,,,,,
534,Caledonian Road,Islington, ,9277,6574,4874,8591,5719,4668,5.72,,,,,,
535,Camden Town,Camden, ,31046,37481,16303,31183,41851,28383,22.51,,,,,,
788,Canada Water,Southwark, ,21804,21533,14625,22150,21539,14887,15.10,,,,,,
852,Canary Wharf,Tower Hamlets, ,86663,36234,25994,86803,37893,27770,50.91,,,,,,
884,Canning Town,Newham, ,20492,16422,12206,19892,15457,11613,13.28,,,,,,
536,Cannon Street,City of London, ,18732,4360,3117,15365,3398,2955,9.39,,,,,,
537,Canons Park,Harrow, ,4900,3505,2373,4777,3259,2271,3.07,,,,,,
539,Chalfont & Latimer,Chiltern, ,2838,1286,726,2964,1082,573,1.67,,,,,,
540,Chalk Farm,Camden, ,8997,8721,7683,8003,7056,5373,5.89,,,,,,
541,Chancery Lane,City of London, ,31085,8066,4071,32778,8195,4038,17.48,,,,,,
718,Charing Cross,City of Westminster,,30496,26272,16589,29715,22288,12347,19.47,,,,,,
543,Chesham,Chiltern, ,1985,1011,634,1821,912,564,1.13,,,,,,
544,Chigwell,Epping Forest, ,1021,366,188,727,329,160,0.50,,,,,,
545,Chiswick Park,Ealing, ,3392,2074,1385,3971,2026,1504,2.25,,,,,,
546,Chorleywood,Three Rivers, ,1369,542,328,1221,545,320,0.75,,,,,,
547,Clapham Common,Lambeth, ,15071,13320,9002,16450,13870,9582,10.49,,,,,,
548,Clapham North,Lambeth, ,9804,9237,5746,10834,9097,5874,6.86,,,,,,
549,Clapham South,Wandsworth, ,13665,10189,6726,13359,9193,6880,8.65,,,,,,
550,Cockfosters,Enfield, ,2894,2998,1811,2760,2576,1814,1.93,,,,,,
